Species,Quadrat (L),Quadrat (W),Excavated,Length,Width,Depth,Year
White Heelsplitter,32,13,N,6.1,4.6,1.2,2014
Three Ridge,31,7.5,N,4.5,3.2,1.5,2014
Black Sandshell,49,8,N,7.8,3.2,1.5,2014
Pocketbook,54,5,N,5.3,3.4,1.7,2014
Three Ridge,43.5,8,N,6,4.3,1.7,2014
Pocketbook,27,2.5,N,6.8,3.3,1.7,2014
Black Sandshell,60,8,N,7.6,3.2,1.7,2014
Three Ridge,54,21.5,N,5.2,3.6,1.8,2014
Wabash Pigtoe,25.5,7.5,N,5.5,3.6,1.8,2014
Pocketbook,54.5,2.5,N,6,3.1,1.8,2014
Pocketbook,37.5,5,N,6.2,3.8,1.8,2014
Fatmucket,80.5,7.5,N,6.5,3.3,1.8,2014
Pocketbook,32.5,2.5,N,6.7,3.2,1.8,2014
Wabash Pigtoe,76,21.5,N,4.5,3.4,1.9,2014
Pocketbook,31,2,N,6.1,3.2,1.9,2014
Fatmucket,87,5,N,6,3.4,2,2014
Fatmucket,80.5,13,N,6.3,3.6,2,2014
Fatmucket,37.5,5,N,7.4,3.8,2,2014
Black Sandshell,37.5,5,N,9.4,3.5,2,2014
Black Sandshell,36.5,13,N,11.9,4.9,2,2014
Fatmucket,92.5,10.5,N,6,3.4,2.1,2014
Pocketbook,38,8,N,6.1,4.1,2.1,2014
Fatmucket,82,2.5,N,6.5,3.9,2.1,2014
Three Ridge,37.5,20.5,N,6.5,4.3,2.1,2014
Black Sandshell,65.6,19,N,8.5,3.5,2.1,2014
Black Sandshell,15.5,5,N,10.6,4,2.1,2014
Wabash Pigtoe,3.5,18.5,N,6,4.3,2.2,2014
White Heelsplitter,98,5,N,6.1,4.2,2.2,2014
Pocketbook,32.5,2.5,N,6.8,3.5,2.2,2014
Fatmucket,43.5,2.5,N,6.9,4,2.2,2014
Pocketbook,16,2.5,N,7,3.7,2.2,2014
Three Ridge,32,10.5,N,7,5,2.2,2014
Three Ridge,43.5,2.5,N,7.2,5,2.2,2014
Black Sandshell,70.5,21.5,N,9,3.7,2.2,2014
Black Sandshell,81.5,10.5,N,9.1,3.9,2.2,2014
Wabash Pigtoe,91.5,18.5,N,5.5,3.5,2.3,2014
Fatmucket,69.5,13,N,6.2,3.1,2.3,2014
Fatmucket,71,13.5,N,6.7,3.6,2.3,2014
Fatmucket,43.5,13.5,Y,6.9,3.7,2.3,2014
Fatmucket,43,10.5,N,7.2,3.9,2.3,2014
Three Ridge,48.5,10.5,N,7.3,5.1,2.3,2014
Three Ridge,59.5,10.5,N,7.3,4.7,2.3,2014
Fatmucket,15.5,5,N,7.6,4.1,2.3,2014
Black Sandshell,21,16,N,9.5,4,2.3,2014
Wabash Pigtoe,86,2,N,6.2,4.4,2.4,2014
Fatmucket,81.5,21.5,N,7.3,4.8,2.4,2014
Fatmucket,60,2.5,N,7.6,3.9,2.4,2014
Three Ridge,10.5,8,N,7.8,5,2.4,2014
Three Ridge,49,13.5,N,7.8,5.3,2.4,2014
White Heelsplitter,98,5,N,8.8,5.8,2.4,2014
Black Sandshell,75,2,N,9.7,4.2,2.4,2014
Black Sandshell,53,13,N,9.9,4.4,2.4,2014
Black Sandshell,32,20.5,N,10,4,2.4,2014
Black Sandshell,27,2.5,N,10.5,4.3,2.4,2014
Black Sandshell,49,2.5,N,11,4.4,2.4,2014
Three Ridge,64,13,N,2.9,5.4,2.5,2014
Wabash Pigtoe,91.5,7.5,N,6.2,4.5,2.5,2014
Wabash Pigtoe,59.5,21.5,N,6.3,4.3,2.5,2014
Fatmucket,70.5,21.5,N,6.6,3.7,2.5,2014
Pocketbook,49,8,N,7,4.8,2.5,2014
Pocketbook,98,16,N,7,4.4,2.5,2014
Pocketbook,75,18.5,N,7.3,4,2.5,2014
Three Ridge,36.5,2,N,7.3,5.4,2.5,2014
Three Ridge,54,5,N,7.3,5.2,2.5,2014
Pocketbook,93,19,Y,7.3,4.3,2.5,2014
Fatmucket,15.5,5,N,7.4,4.2,2.5,2014
Pocketbook,65,10.5,N,7.6,5,2.5,2014
Fatmucket,38,19,N,7.7,3.7,2.5,2014
Pocketbook,5,8,N,8,4.1,2.5,2014
Three Ridge,32,16,N,9,6,2.5,2014
Black Sandshell,20,13,N,9.4,4.2,2.5,2014
Black Sandshell,92.5,5,N,9.6,4.1,2.5,2014
Black Sandshell,48.5,21.5,N,9.9,4.2,2.5,2014
Black Sandshell,60,2.5,N,10,3.8,2.5,2014
Black Sandshell,48.5,21.5,N,10.1,4.4,2.5,2014
Black Sandshell,75,2,N,10.2,4.3,2.5,2014
Black Sandshell,5,13.5,N,10.3,4.4,2.5,2014
Black Sandshell,76,10.5,Y,10.4,4.6,2.5,2014
Black Sandshell,10.5,13.5,N,10.6,4.6,2.5,2014
Black Sandshell,54.5,2.5,N,10.7,4.1,2.5,2014
Black Sandshell,26.5,16,N,11.1,4.4,2.5,2014
Pocketbook,53,7.5,Y,6.5,4.2,2.6,2014
Fatmucket,86,18.5,N,6.8,3.6,2.6,2014
Pocketbook,54,10.5,Y,6.8,4.3,2.6,2014
Three Ridge,64,13,N,7.3,5.6,2.6,2014
Fatmucket,65.6,8,N,7.4,4.2,2.6,2014
Fatmucket,37.5,16,N,7.6,3.9,2.6,2014
Pocketbook,32,10.5,N,7.8,4.5,2.6,2014
Three Ridge,76.5,13.5,N,8,4.9,2.6,2014
Pocketbook,32,16,N,8.1,4,2.6,2014
Fatmucket,32,20.5,N,8.2,4.3,2.6,2014
Fatmucket,49,8,Y,8.6,4.5,2.6,2014
Black Sandshell,54.5,13.5,N,9.9,4,2.6,2014
Black Sandshell,64,13,N,10,4.2,2.6,2014
Black Sandshell,64,13,N,10.3,3.9,2.6,2014
Black Sandshell,43.5,8,N,10.9,4.8,2.6,2014
White Heelsplitter,54,10.5,Y,11,7.7,2.6,2014
Black Sandshell,25.5,13,N,11.2,5.2,2.6,2014
Black Sandshell,98.5,13.5,N,11.5,5.1,2.6,2014
Black Sandshell,10,16,N,11.9,5,2.6,2014
Three Ridge,32,5,N,7.4,5.2,2.7,2014
Fatmucket,36.5,18.5,N,7.7,4,2.7,2014
Three Ridge,76,16,N,7.8,5.2,2.7,2014
Three Ridge,71,8,N,8,5.7,2.7,2014
Three Ridge,87,10.5,N,8,5.1,2.7,2014
Pocketbook,26.5,21.5,N,8.2,4.7,2.7,2014
Pocketbook,3.5,7.5,N,8.3,4.6,2.7,2014
Three Ridge,36.5,7.5,N,8.3,5.3,2.7,2014
Pocketbook,26.5,16,N,8.5,4.8,2.7,2014
Pocketbook,75,18.5,N,8.5,5.3,2.7,2014
Pocketbook,25.5,18.5,N,8.7,4.5,2.7,2014
Fatmucket,60,2.5,N,8.8,4.4,2.7,2014
Fatmucket,47.5,18.5,N,8.9,4.6,2.7,2014
Three Ridge,43,5,N,8.9,6,2.7,2014
Fatmucket,37.5,10.5,N,9.2,4.9,2.7,2014
Black Sandshell,31,2,N,10.2,5.7,2.7,2014
Black Sandshell,60,8,N,10.4,4.5,2.7,2014
Black Sandshell,21,10.5,N,10.7,4.5,2.7,2014
Black Sandshell,48.5,21.5,N,10.8,4.8,2.7,2014
Black Sandshell,75,2,N,10.8,4.8,2.7,2014
Black Sandshell,32.5,8,N,10.9,4.4,2.7,2014
Black Sandshell,65.5,2.5,N,10.9,4.6,2.7,2014
Black Sandshell,37.5,20.5,N,11,4.8,2.7,2014
Black Sandshell,5,8,N,11.1,4.9,2.7,2014
Black Sandshell,43.5,2.5,N,11.6,5,2.7,2014
Black Sandshell,4.5,10.5,N,11.9,5,2.7,2014
Black Sandshell,20,8,N,11.9,4.9,2.7,2014
Pocketbook,43,5,N,7,4.6,2.8,2014
Fatmucket,32,20.5,N,7.3,4.1,2.8,2014
Pocketbook,32,16,N,7.4,4.4,2.8,2014
Pocketbook,93,13.5,N,7.6,5,2.8,2014
Pocketbook,16,8,N,7.7,4.7,2.8,2014
Fatmucket,54,21.5,N,7.8,4.1,2.8,2014
Fatmucket,60,8,N,7.8,4.1,2.8,2014
Three Ridge,53,13,N,8,5.6,2.8,2014
Three Ridge,47.5,2,N,8.1,6,2.8,2014
Fatmucket,20,18.5,N,8.2,4.4,2.8,2014
Pocketbook,87.5,8,N,8.2,5,2.8,2014
Fatmucket,37.5,5,N,8.4,4.9,2.8,2014
Fatmucket,75,2,N,8.4,5.6,2.8,2014
Fatmucket,87,16,N,8.5,4.3,2.8,2014
Fatmucket,32.5,19,Y,8.5,4.6,2.8,2014
Three Ridge,65,16,N,8.7,5,2.8,2014
Three Ridge,87.5,19,N,8.8,5.6,2.8,2014
Fatmucket,98,16,Y,9,4.5,2.8,2014
Giant Floater,92.5,5,N,9.3,4.6,2.8,2014
Black Sandshell,97,2,N,9.5,4,2.8,2014
Fatmucket,21,16,N,9.8,4.8,2.8,2014
Black Sandshell,93,19,N,10.2,4.5,2.8,2014
Black Sandshell,53,18.5,N,10.3,4.5,2.8,2014
Black Sandshell,31,2,N,10.6,4.5,2.8,2014
Black Sandshell,26.5,21.5,N,10.7,4.8,2.8,2014
Black Sandshell,48.5,21.5,N,10.8,4.9,2.8,2014
Black Sandshell,76,21.5,N,10.8,4.7,2.8,2014
Black Sandshell,42,18.5,N,11,4.7,2.8,2014
Black Sandshell,5,19,N,11.1,4.8,2.8,2014
Black Sandshell,26.5,10.5,N,11.1,4.4,2.8,2014
Black Sandshell,16,13.5,N,11.2,5.3,2.8,2014
Black Sandshell,42,2,N,11.4,4.8,2.8,2014
Black Sandshell,76,10.5,Y,11.4,5.1,2.8,2014
Black Sandshell,81.5,5,N,11.6,4.8,2.8,2014
Black Sandshell,97,2,N,11.8,4.5,2.8,2014
Pocketbook,91.5,18.5,Y,7.5,4.4,2.9,2014
Three Ridge,76.5,2.5,N,7.6,5.5,2.9,2014
Three Ridge,54.5,8,N,7.7,4.9,2.9,2014
Pocketbook,60,8,N,7.8,5.1,2.9,2014
